['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0009.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0085.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0002.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0023.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0045.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0022.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0026.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0043.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0031.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0039.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0069.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0036.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0073.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0055.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0061.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0068.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0083.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0050.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0011.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0070.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0065.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0013.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0064.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0019.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0082.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0051.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0057.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0037.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0020.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0059.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0024.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0049.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0079.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0075.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0007.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0005.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0017.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0046.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0034.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0016.jpg', 33]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0033.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0027.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0081.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0032.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0015.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0028.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0076.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0060.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0058.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0021.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0044.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0001.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0038.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0040.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0084.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0074.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0009.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0085.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0002.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0018.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0047.jpg', 76]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0023.jpg', 54]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0045.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0022.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0026.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0043.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0031.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0069.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0073.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0083.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0056.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0011.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0010.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0029.jpg', 76]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0065.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0067.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0013.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0063.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0080.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0082.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0054.jpg', 76]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0004.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0051.jpg', 9]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0020.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0053.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0059.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0024.jpg', 76]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0049.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0087.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0025.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0075.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0007.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0005.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0046.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0014.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0016.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0033.jpg', 8]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0027.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0081.jpg', 76]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0071.jpg', 53]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0015.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0028.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0076.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0048.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0052.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0021.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0044.jpg', 76]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0086.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0040.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0084.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/menorah/image_0066.jpg', 1]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0002.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0018.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0047.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0022.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0026.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0043.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0039.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0036.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0050.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0011.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0004.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0053.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0024.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0025.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0005.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0017.jpg', 2]
